James T. Kirk,Commanding Officer,Captain,NCC-1701-A,Human
Spock,First Officer,Commander,NCC-1701-A,Vulcan/Human
Leonard McCoy,Chief Medical Officer,Lieutenant Commander,NCC-1701-A,Human
Montgomery Scott,Chief Engineering Officer,Lieutenant Commander,NCC-1701-A,Human
Jean-Luc Picard,Commanding Officer,Captain,NCC-1701-D,Human
William T. Riker,First Officer,Commander,NCC-1701-D,Human
Beverly Crusher,Chief Medical Officer,Lieutenant Commander,NCC-1701-D,Human
Geordi La Forge,Chief Engineering Officer,Lieutenant,NCC-1701-D,Human
Deanna Troi,Counselor,Lieutenant Commander,NCC-1701-D,Betazoid
Worf,Helmsman,Lieutenant,NCC-1701-D,Klingon
Data,Chief Operations Officer,Lieutenant Commander,NCC-1701-D,Android
Tasha Yar,Chief Security Officer,Lieutenant,NCC-1701-D,Human
Christine Chapel,Nurse,Crewman,NCC-1701-A,Human
Nyota Uhura,Communications Officer,Lieutenant,NCC-1701-A,Human
Hikaru Sulu,Helmsman,Lieutenant,NCC-1701-A,Human
Pavel Chekov,Navigator,Ensign,NCC-1701-A,Human
